,am_score,bpe_lm_score,diff_config,diffusion_score,first_pass_length_penalty,first_pass_score,ngram_lm_score,ngram_lm_score_non_oov,ngram_lm_score_oov,second_pass_score,wer
2202,-0.6699470425804012,1.3034016667464372,e330_rk45_n10,0.002323553715530317,0.0,-0.5168602095153757,-0.9213402245290404,-0.2026063875522896,-0.14464079062802684,0.0,0.10050558364353575
3974,-0.7402718299018719,1.9987267981474335,e330_euler10_n10,0.0009734731806881603,-2.1999098535758215,-0.8095896392725077,-1.296030520652447,-0.16148369073077928,-0.434537025996097,-0.0298072320933922,0.10050558364353575
940,-0.8402438306374014,1.904410707881044,e330_euler10_n10,0.001716336762693183,-1.3187894030319933,0.0,-1.9231687514196665,-0.47141882732636187,-0.6678393885660749,0.0,0.10050558364353575
3058,-0.22287932993138615,1.216165985597516,e330_euler10_n10,0.0014326113104444816,-2.38846702618688,-0.6428259973241677,-1.8554422368629389,-0.8319954574015256,-0.5640567914280098,0.0,0.10050558364353575
1856,-0.1585860330472594,1.423288617836617,e330_euler10_n10,0.001961856993082204,-1.7823873754200528,-0.024242805621204733,-1.391124317562951,-0.028585833519367495,-0.7762367808775285,-0.6217600640495192,0.10050558364353575
6053,-0.9739638064969057,1.8888914444834004,e330_euler10_n10,0.0,-1.1290399470366788,0.0,-1.6905884602161343,-0.6385928569665761,-0.44839568668175933,0.0,0.10050558364353575
2478,-0.650299906013836,1.3365936029139567,e330_rk45_n10,0.006805635831490973,0.0,-0.5337431261302081,-1.9995377597371962,-0.16153442365155243,-0.17618993690763368,0.0,0.10050558364353575
4379,-0.1585860330472594,1.423288617836617,e330_euler10_n10,0.001961856993082204,-1.7823873754200528,-0.024242805621204733,-1.391124317562951,-0.028585833519367495,-0.7762367808775285,-0.6217600640495192,0.10050558364353575
1186,-0.9602857575687878,1.070799241848395,e330_rk45_n10,3.677622342528313e-06,-2.592447945484415,0.0,-1.009267644022563,-0.6095092750153299,-0.3803087124130368,0.0,0.10050558364353575
2196,-0.6970716666497523,1.455970551900051,e330_rk45_n10,0.005685082814686804,0.0,-0.49476364807068723,-1.7334656637025307,-0.08283121357751219,-0.15440988738868008,0.0,0.10050558364353575
5319,-0.1585860330472594,1.423288617836617,e330_euler10_n10,0.001961856993082204,-1.7823873754200528,-0.024242805621204733,-1.391124317562951,-0.028585833519367495,-0.7762367808775285,-0.6217600640495192,0.10050558364353575
2136,-0.6570511511326159,1.6023997814436002,e330_rk45_n10,0.005651154448980899,0.0,-0.6366741914429807,-1.6537551321845374,-0.04355917369145497,-0.9099852041615737,0.0,0.10056114228568254
996,-0.8786354943297169,1.8595076595581506,e330_euler10_n10,0.0018067503091184563,-1.5095198605711673,0.0,-1.910656231388579,-0.4430985203943819,-0.7312423500580151,0.0,0.10056114228568254
5668,-0.9807003680502864,1.0335120775241493,e330_euler10_n10,0.0,-1.9439700963248268,0.0,-1.0025164252862018,-0.5186615976420716,-0.4860204410292661,0.0,0.10056114228568254
2031,-0.6573908420174763,1.5795119256310723,e330_rk45_n10,0.005456669615968277,0.0,-0.5646601571257279,-1.6333786227795066,-0.07197746875633201,-0.4665723799017391,0.0,0.10056114228568254
5834,-0.7372438457117438,1.9878785971893977,e330_euler10_n10,0.0,-1.5119175810078915,0.0,-2.080221649878134,-0.8704726727149255,-0.011984023691182427,0.0,0.10056114228568254
5992,-0.9661250539198305,1.917174800241952,e330_euler10_n10,0.0,-1.1425327456477392,0.0,-1.7586751621208199,-0.6082877065488467,-0.4538293099291233,0.0,0.10061670092782933
2222,-0.47766040706412743,1.4979890802614613,e330_euler50_n10,0.0060874095060349034,0.0,-0.5839523722037294,-2.053117523943312,-0.2457160086465058,-0.8596226692372754,0.0,0.10061670092782933
3176,-0.32888876463061184,1.2563925521070929,e330_rk45_n10,0.001905694353605101,-2.545132228866207,-0.9354172321238113,-0.9137468864035095,-0.05619645555387283,-0.8065725648155944,0.0,0.10061670092782933
4652,-0.6198315908279356,1.3935600160862984,e330_euler10_n10,0.0025825140286947048,-2.9491491611970417,-0.05871140060275844,-0.5681175442866199,-0.6479231444133395,-0.7653499140843545,-1.130512093929877,0.10061670092782933
5986,-0.9743665540440047,1.0305210480509988,e330_euler10_n10,0.0,-1.3857505022544048,0.0,-0.8954899664539607,-0.5504420586382862,-0.6752304294992107,0.0,0.10061670092782933
2505,-0.6801054564466067,1.4458425458887838,e330_rk45_n10,0.006215520604996529,0.0,-0.5324310417877356,-1.8785792518275894,-0.10748485123626772,-0.03332914122255273,0.0,0.10061670092782933
2498,-0.5859440121804317,1.694400157727745,e330_euler10_n10,0.004995345894608716,0.0,-1.7953311423443483,-1.2302235339935046,-0.3362053547802112,-0.4641035940844884,0.0,0.10061670092782933
1176,-0.8976655711721742,1.4140559878195682,e330_euler10_n10,0.00014986037683826147,-0.8251195741350883,0.0,-1.2302235339935046,-0.3362053547802112,-0.4641035940844884,0.0,0.10067225956997611
2273,-0.6581012165248982,1.3179479174004056,e330_rk45_n10,0.0056394504316888226,0.0,-0.7912900106925166,-1.3461862998571905,-0.16139373359862538,-0.9873316005794447,0.0,0.10067225956997611
3671,-0.8596130614047662,1.1981014890848787,e330_euler10_n10,0.0009402725344777285,-0.5379896645760511,-0.21078667299230536,-0.06665069098926502,-0.12361084770396169,-0.3076773843306859,-1.8299115772604442,0.10067225956997611
3350,-0.657274064030898,1.5066023258038208,e330_euler10_n10,0.0008562462398511996,-2.2121310316405522,-0.5886395004650318,-0.814208438698198,-0.8048559127287152,-0.375539689753077,0.0,0.10067225956997611
884,-0.4787632952022874,1.156504981273105,e330_rk45_n10,0.0015841181130570013,-1.4438985607986206,0.0,-1.7645617724390288,-0.5347837562964667,-0.7295591754756873,0.0,0.10067225956997611
2466,-0.34999068259359,1.5654692160766392,e330_rk45_n10,0.005644313681995264,0.0,-0.7013691324108975,-1.5229560880733768,-0.11663190817325847,-0.8747751273212816,0.0,0.10067225956997611
848,-0.9447566321297248,1.1585618668518491,e330_rk45_n10,0.0019021030615247966,-2.442341720434172,0.0,-1.1442486317392093,-0.7667952542648043,-0.5214131901622421,0.0,0.10067225956997611
3962,-0.8596130614047662,1.1981014890848787,e330_euler10_n10,0.0009402725344777285,-0.5379896645760511,-0.21078667299230536,-0.06665069098926502,-0.12361084770396169,-0.3076773843306859,-1.8299115772604442,0.10067225956997611
4336,-0.4814055651893899,1.6678703257408292,e330_euler10_n10,0.0028213970627288944,-2.657202953381943,-0.2623364167729233,-0.5751966403575344,-0.8008317162246937,-0.9514721376746441,-0.9861733025464016,0.10067225956997611
2324,-0.7054625837131345,1.3087263690320736,e330_euler10_n10,0.005963758770175347,0.0,-0.5729227553326066,-1.7700163866489615,-0.2303506553664922,-0.03480058372613709,0.0,0.1007278182121229
2146,-0.687639327646118,1.5330025543773789,e330_rk45_n10,0.002790470550485579,0.0,-0.6457204302396026,-0.9730782767972966,-0.16975443256263714,-0.045619240663775075,0.0,0.1007278182121229
2100,-0.6445517327755689,1.5967282028532461,e330_rk45_n10,0.006326700223287006,0.0,-0.6634969715597226,-1.7164850084011218,-0.08937238681031977,-0.033519118393851424,0.0,0.1007278182121229
1103,-0.8339390201744888,1.000554990279371,e330_rk45_n10,0.0009687619970210964,-2.389157497845881,0.0,-0.8443384068772036,-0.9624981284421064,-0.3893008674797111,0.0,0.1007278182121229
5099,-0.5268946769284754,1.3982438972315028,e330_euler10_n10,0.0025427270615066486,-2.9506926082312046,-0.06537647207759856,-0.4934058207585197,-0.686948350322574,-0.7648537461551201,-1.1545006488902212,0.1007278182121229
5840,-0.9627087065907749,1.9885554476941365,e330_euler10_n10,0.0,-1.1541470407688237,0.0,-1.7851138928937398,-0.6270743966903944,-0.7942745124230167,0.0,0.1007278182121229
4169,-0.48092733335238724,1.4667689725750743,e330_euler10_n10,0.0029532848742861227,-2.6182114244154207,-0.11170806673709811,-0.4721899914621158,-0.7794629418693475,-0.878267320010075,-1.0162229516116055,0.1007278182121229
2408,-0.6618819136158663,1.490589006325792,e330_rk45_n10,0.005960581635242997,0.0,-0.6916684470103808,-1.6442368538322498,-0.06675904981649469,-0.05385257136586421,0.0,0.1007278182121229
5657,-0.7734207501913596,1.2126108399529458,e330_euler10_n10,0.0,-0.017530707167404902,0.0,-0.8911709525803171,-0.793476978002194,-0.4335837959730249,0.0,0.10078337685426968
2897,-0.8957778116335522,1.3052181596922392,e330_euler50_n10,0.0008013122372633691,-2.692692437421759,-0.5659092372413531,-0.9150681722258908,-0.11166060626225022,-0.6281840666636468,0.0,0.10078337685426968
1085,-0.5149361042076104,1.2458618790687912,e330_euler10_n10,0.0020418007360604473,-0.9754717625400908,0.0,-2.0566942498993117,-0.38574063138325154,-0.748623094688171,0.0,0.10078337685426968
1150,-0.8993454087678683,1.5804842720878907,e330_euler50_n10,0.0019288460713907565,-2.3915633511121444,0.0,-1.3528745971803908,-0.9321736080285334,-0.29548225363672354,0.0,0.10083893549641647
4316,-0.6357747870334804,1.2668237239999924,e330_euler10_n10,0.002837780347282383,-2.7586505424707597,-0.03812649067884241,-0.36190810218325553,-0.6752750040450329,-0.7293692852519109,-1.1740133572332063,0.10083893549641647
1106,-0.6508860217158865,1.1866162064089631,e330_euler10_n10,0.002762184346955725,-1.101131992057387,0.0,-1.3176273999355472,-0.3581857535035985,-0.09183438478441974,0.0,0.10083893549641647
4380,-0.26570855981210334,1.8101467709592596,e330_euler10_n10,0.0028802754611031846,-2.3691856196937415,-0.124503478444743,-0.7993659638446025,-0.9305948347450297,-0.9571660003641124,-0.9854839292413732,0.10083893549641647
2420,-0.6557329077527502,1.4509222149442595,e330_rk45_n10,0.008005779773839075,0.0,-0.8492897405131968,-1.7585072540611857,-0.5533581004661484,-0.9150427146077771,0.0,0.10083893549641647
1016,-0.9039291536964207,1.9061414142377227,e330_euler10_n10,0.0017307029420347282,-1.5474821418342597,0.0,-1.9345693639788257,-0.4223417480820002,-0.5363848894915761,0.0,0.10083893549641647
3626,-0.13992632510485298,1.3042271670508847,e330_euler10_n10,3.039515769745851e-05,-0.3445819334762579,-0.3518729170849128,-0.17113659098386724,-0.7862981390584003,-0.4063819191693494,-0.46312845204984154,0.10089449413856326
4301,-0.6728630488220708,1.3530952932784797,e330_euler10_n10,0.002804965135804699,-2.942518265246946,-0.0008555504810173415,-0.40440008402189487,-0.5637547871295924,-0.2768903969904859,-1.2527098387959505,0.10089449413856326
2061,-0.6908520425003098,1.4939505658401617,e330_rk45_n10,0.00677752844981219,0.0,-0.6445801475193979,-1.6763056378862218,-0.12166261653604545,-0.13393678306648507,0.0,0.10089449413856326
5737,-0.9016531661669499,1.4211076250050523,e330_euler10_n10,0.0,-0.11369826859364496,0.0,-0.9803529015566641,-0.684484368993937,-0.30812288604952665,0.0,0.10089449413856326
751,-0.48899623342261184,1.1855736898910432,e330_euler10_n10,0.0019924806005560077,-1.4156961470964766,0.0,-1.8390659721634361,-0.4484400117821926,-0.7262559221584323,0.0,0.10089449413856326
